t,T1,T2,H,price_t,price_previous,Occ1,Occ2,vent_counter,low_override_r1,low_override_r2,intercept
0,-15.854642359025494,-15.962282758799384,42.95746909073247,162.49018318828504,-62.632353144321314,2.9821730072317685,-0.3608037412456748,0.0,0.0,0.0,73.08458192414398
1,-9.314570624802561,-4.30705958894641,43.407553969627074,140.1470084761281,3.9224082989886537,1.448545706190151,1.2368336437184029,4.821516821594695,0.05585803053586623,0.03401922159093481,29.580657679213676
2,-13.408883237189732,-3.7782586266925846,39.859450780348425,101.71508894480978,40.418120728935875,-1.5141462280571787,1.4254296462315375,21.86189433191508,0.1909520908003664,0.19096239776842744,17.72091566747044
3,-5.871483827050062,1.7653670165476687,37.075342649320845,91.31158992285204,43.248980024654294,-1.0924726923225658,0.09347995808319003,13.284593945169249,16.38654083489692,16.53995835348955,13.7979981927113
4,-5.384335435362471,-2.882611912719419,31.401731144609816,81.09233218678385,36.96023834197662,1.6872333314064392,-0.37314068267411205,5.079993634140228,25.109144389071474,24.989570985410808,6.415382169918507
5,-12.32836429590292,-9.471718295347888,23.989274409433612,72.76563868402246,30.13306067972361,2.3080684707886654,1.2441369837217957,2.7073235005933327,20.220653787950887,20.151367314337506,-5.315404928495817
6,-19.634578197332598,-14.958464181713211,20.276679261289374,63.828562132246475,24.82983885056914,2.41705450589631,2.6089739766096844,3.238670609033122,16.101405183615277,17.249481473570874,-19.81525363156392
7,-17.73846769580152,-14.920663436225196,20.975556053132514,44.74430135564801,24.614517496295804,1.1465198718614704,1.411336731227075,2.1361549218146187,19.310119261026244,16.270497194963884,-25.964793420753523
8,-12.780664895109052,-10.080239778321529,20.201764544147224,25.940197082368996,21.311880723224345,0.3579587722280183,0.8098201284186105,0.6365289431229185,17.263520296790972,17.65737744888946,-26.453972266806424
9,0.8820922518978525,0.5490054529498685,12.880551824453391,12.775366138536954,7.8306027407950864,-0.5791661195591364,1.444536471536537,-0.6891330944277098,11.831235811007618,10.8303140834136,-13.70730869830756
