t,T1,T2,H,price_t,price_previous,Occ1,Occ2,vent_counter,low_override_r1,low_override_r2,intercept
0,-17.04509760720816,-18.92478612884465,42.56607414687151,181.9131282279006,-59.06107603032427,-2.5251328637116535,2.3737161306211196,0.0,0.0,0.0,71.56927242945748
1,-21.560787975881677,-21.426286379530602,46.45471374687544,162.35874599456395,-0.869336003729771,3.519553093426974,0.03486340990223202,29.06256916457142,10.06764241306347,5.4158617752559834,28.042406783576624
2,-22.022465606756114,-13.232061993643772,38.257010003375555,113.19145787970237,45.69256672565255,5.845726503351951,2.1039932705947066,40.43010376233221,26.251631131837648,27.563875959557883,10.109098567607795
3,-7.532247835945348,-9.1340030050243,30.110573774592375,92.27605367030309,54.32524175573786,1.3441704235472232,2.799557836886148,17.947426334105366,23.980211052186306,26.5175503114307,11.02745530616789
4,-7.789040712286085,-8.184817645530075,16.726376458560146,77.04550021617493,43.70814574941906,3.0817376684454514,2.736261227923902,-1.720053826147244,23.104733616219292,23.619738812403305,17.957629343807742
5,-8.596835088686955,-8.487591357401026,14.65095883800947,71.88634203496648,36.80942559255365,4.355993837888237,2.367172374229495,-2.6545869817452683,25.38480393391912,23.672941069871495,8.089795332731283
6,-8.125361457681327,-8.95948185682339,15.785707289752358,56.10906633849294,33.784180359869865,2.8392903975985773,1.6474212134853916,-1.7768153421760178,17.407716005131412,21.87275058588475,0.4040142887139577
7,-8.75282847900255,-6.340926211336603,16.440812198298282,43.70280595880527,26.083177310659835,1.9132643902837594,0.11020617092253024,-0.8282729481703095,14.304810064261078,19.076723798306123,-5.536860554244901
8,-6.716511473021848,-4.660093512518863,13.280581617480527,27.019665969990125,17.776741711414182,1.1288385798014768,-1.4301695720525884,0.11314642380781151,13.504042392316428,16.173954631779594,-7.725842601033981
9,-0.14408611208936029,0.008294679890727963,6.186386435307155,6.953011991893096,4.023263602426613,0.9519813275365663,0.36973992046889714,0.0313994040312255,14.48014702605101,14.063108755130457,-4.136347655821576
